Course,Enrollment Date (UTC TimeZone),Started Date (UTC TimeZone),Completion Date (UTC TimeZone),Status,Progress %,Time Spent(minutes),Quiz_score,Centre Number,Centre Country,Completion Comment
Exams Officer UK Webinar - March 13 2025,3/11/25 11:39,,,Not Started,0,0,,36201,UK,
Exams Officer UK Webinar - September 26 2024,9/22/24 8:04,,,Not Started,0,0,,36201,UK,
Recording of Exams Officer UK Webinar - September 2024,10/18/24 12:12,10/18/24 12:12,10/18/24 12:19,Completed,100,9.2,,36201,UK,
BTEC Bitesize Module 13: Post-Results Services (2023/24),10/18/24 6:47,10/18/24 6:48,10/18/24 6:51,Completed,100,4,30,98008,Thailand,
Recording of the Exams Officer International Webinar - October 24 2024,10/30/24 9:01,10/30/24 9:01,10/30/24 9:01,Completed,100,155.72,,98008,Thailand,
ResultsPlus: Accessing individual student results,10/18/24 6:52,10/18/24 6:52,10/18/24 6:52,Completed,100,1.7,,98008,Thailand,
Exams Officer UK Webinar - June 12th 2025,5/6/25 17:20,,,Not Started,0,0,,37354,UK,
Centre Declaration of Interest,3/13/25 9:33,3/13/25 9:33,3/13/25 9:33,Completed,100,0,,14415,UK,
International Exams Officer Webinar - 12 December 2024,12/9/24 3:01,,,Not Started,0,0,,92197,Thailand,
Recording of International Exams Officer Webinar - January 31st  2024,2/15/24 2:40,2/13/25 14:49,,In Progress,0,52,,92197,Thailand,
Recording of the EO International Webinar - 13 February 2025,2/11/25 14:20,2/13/25 14:44,2/13/25 14:47,Completed,100,2.27,,92197,Thailand,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/29/25 10:45,,,Not Started,0,0,,92197,Thailand,
Recording of the Exams Officer International Webinar - October 24 2024,10/12/24 21:09,,,Not Started,0,0,,92407,Kenya,
Exams Officer UK Webinar - November 14 2024,10/16/24 13:42,,,Not Started,0,0,,50505,UK,
EO International Webinar - 10th April 2025,2/18/25 5:19,,,Not Started,0,0,,91446,Cyprus,
International Exams Officer Webinar - 12 December 2024,12/9/24 7:13,,,Not Started,0,0,,91446,Cyprus,
International Exams Officer Webinar - January 31st  2024,1/23/24 11:06,2/2/24 11:41,,In Progress,50,4.47,,91446,Cyprus,
Recording of International Exams Officer Webinar - March 28th 2024,3/28/24 11:51,9/17/24 4:09,9/17/24 4:09,Completed,100,0.4,,91446,Cyprus,
Recording of the Exams Officer International Webinar - October 24 2024,10/11/24 7:32,10/29/24 8:25,10/29/24 8:25,Completed,100,0.22,,91446,Cyprus,
Exams Officer UK Webinar - 12 December 2024,10/1/24 8:33,,,Not Started,0,0,,33383,UK,
Exams Officer UK Webinar - November 14 2024,10/1/24 8:33,,,Not Started,0,0,,33383,UK,
Exams Officer UK Webinar - October 17 2024,10/1/24 8:33,,,Not Started,0,0,,33383,UK,
Recording of Exams Officer UK Webinar - September 2024,10/1/24 13:57,,,Not Started,0,0,,33383,UK,
Welcome to Pearson - New to role Exams Officer ,10/1/24 12:40,10/1/24 12:40,,In Progress,0,0.08,,33383,UK,
BTEC Bitesize Module 10: Eligibility (2023/24),6/24/24 11:03,10/8/24 13:04,10/8/24 13:24,Completed,100,19.72,30,25354,UK,
BTEC Bitesize Module 13: Post-Results Services (2023/24),10/8/24 13:25,10/8/24 13:25,10/8/24 14:04,Completed,100,39,30,25354,UK,
BTEC Bitesize Module 1: Intro to BTEC (2023/24),6/24/24 7:31,6/24/24 7:31,6/24/24 7:52,Completed,100,19.07,40,25354,UK,
BTEC Bitesize Module 2: Registrations (2023/24),6/24/24 7:52,6/24/24 7:53,6/24/24 8:42,Completed,100,49.57,30,25354,UK,
BTEC Bitesize Module 3: Entries & External Assessments (2023/24),6/24/24 8:43,6/24/24 8:44,6/24/24 9:38,Completed,100,55.55,30,25354,UK,
BTEC Bitesize Module 4: BTEC Amendments (2023/24) UK centres,6/24/24 10:01,6/24/24 10:01,6/24/24 10:34,Completed,100,23.67,30,25354,UK,
BTEC Bitesize Module 5: Modified Papers (2023/24) UK centres,6/24/24 10:34,6/24/24 10:34,6/24/24 11:03,Completed,100,28.27,40,25354,UK,
BTEC Bitesize Module 6: Access Arrangements (2023/24) UK centres,6/24/24 11:04,6/24/24 11:04,6/24/24 13:28,Completed,100,144.4,30,25354,UK,
BTEC Bitesize Module 7: Exam Administration (2023/24),6/24/24 11:04,10/8/24 11:11,10/8/24 11:36,Completed,100,25,40,25354,UK,
BTEC Bitesize Module 8: Question Paper Security (2023/24),6/24/24 11:04,10/8/24 11:36,10/8/24 12:15,Completed,100,39.05,40,25354,UK,
BTEC Bitesize Module 9 - Making Claims (BTEC Results Reporting) (2023/24),6/24/24 11:04,10/8/24 12:16,10/8/24 13:03,Completed,100,47.45,40,25354,UK,
Centre Declaration of Interest,9/13/24 7:14,9/13/24 7:14,9/13/24 7:14,Completed,100,8,,22347,UK,
Recording of Exams Officer UK Webinar - January 2025,2/4/25 15:30,2/4/25 15:30,,In Progress,0,25.97,,37760,UK,
BTEC Bitesize Module 4: BTEC Amendments (2023/24) UK centres,1/19/24 10:21,10/16/24 13:29,10/22/24 9:44,Completed,100,25.77,30,31070,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 11:47,,,Not Started,0,0,,31070,UK,
Exams Officer UK Webinar - October 17 2024,10/17/24 9:55,,,Not Started,0,0,,31070,UK,
Recording of Exams Officer UK Webinar - October 2024,10/22/24 11:03,,,Not Started,0,0,,31070,UK,
Recording of Exams Officer UK Webinar - September 2024,10/16/24 12:59,,,Not Started,0,0,,31070,UK,
BTEC Bitesize Module 4: BTEC Amendments (2023/24) UK centres,1/19/24 10:18,,,Not Started,0,0,,13170,UK,
Cohort Declaration walkthrough,10/3/24 15:08,10/3/24 15:08,,In Progress,50,242.27,,13170,UK,
Exams Officer UK Webinar - 12 December 2024,11/6/24 10:56,12/12/24 14:00,12/12/24 15:00,Completed,100,60,,13170,UK,
Exams Officer UK Webinar - 16 January 2025,1/9/25 12:39,1/16/25 14:00,1/16/25 15:00,Completed,100,60,,13170,UK,Attended live event
Exams Officer UK Webinar - March 13 2025,1/29/25 9:16,3/13/25 14:00,3/13/25 15:00,Completed,100,60,,13170,UK,Thank you for attending our EO Webinar for March 2025
Exams Officer UK Webinar - May 1st 2025,4/28/25 10:12,,,Not Started,0,0,,13170,UK,
Exams Officer UK Webinar - November 14 2024,11/5/24 13:47,,,Not Started,0,0,,13170,UK,
Exams Officer UK Webinar - September 26 2024,9/26/24 9:20,,,Not Started,0,0,,13170,UK,
Learner Work Transfer - January 2024 Session ,11/5/24 13:48,11/5/24 13:48,,In Progress,0,3485.3,,13170,UK,
Welcome to Pearson - New to role Exams Officer ,9/26/24 9:23,9/26/24 9:23,,In Progress,0,22,,13170,UK,
Recording of the EO International Webinar - 13 February 2025,2/11/25 15:48,,,Not Started,0,0,,94546,India,
BTEC Bitesize Module 2: Registrations (2023/24),1/20/24 0:50,1/20/24 0:50,,In Progress,0,0.03,,11049,UK,
BTEC Bitesize Module 3: Entries & External Assessments (2023/24),2/20/24 11:50,10/2/24 10:39,,In Progress,0,2.15,0,11049,UK,
BTEC Bitesize Module 4: BTEC Amendments (2023/24) UK centres,1/20/24 0:48,1/20/24 0:48,,In Progress,0,0.05,,11049,UK,
Learner Work Transfer - January 2024 Session ,1/20/24 0:47,1/20/24 0:47,3/12/24 9:00,Completed,100,1444.59,4,11049,UK,
Recording of the EO International Webinar - 13 February 2025,2/10/25 8:10,,,Not Started,0,0,,91736,France,
Recording of the EO International Webinar - 13 February 2025,2/11/25 17:36,,,Not Started,0,0,,90179,India,
Centre Declaration of Interest,3/31/25 11:35,3/31/25 11:36,3/31/25 11:36,Completed,100,12.13,,63203,UK,
Exams Officer UK Webinar - March 13 2025,2/14/25 14:36,3/13/25 14:00,3/13/25 15:00,Completed,100,60,,63203,UK,Thank you for attending our EO Webinar for March 2025
Exams Officer UK Webinar - March 13 2025,3/12/25 10:07,3/13/25 14:00,3/13/25 15:00,Completed,100,60,,52101,UK,Thank you for attending our EO Webinar for March 2025
International Exams Officer Webinar - 12 December 2024,12/12/24 7:17,,,Not Started,0,0,,94113,Ethiopia,
Recording of the EO International Webinar - 13 February 2025,2/13/25 8:37,,,Not Started,0,0,,94113,Ethiopia,
Exams Officer UK Webinar - March 13 2025,3/10/25 13:37,,,Not Started,0,0,,18224,UK,
Exams Officer UK Webinar - March 13 2025,3/4/25 9:54,3/13/25 14:00,3/13/25 15:00,Completed,100,60,,32455,UK,Thank you for attending our EO Webinar for March 2025
Recording of Exams Officer UK Webinar - January 2025,2/5/25 13:23,2/5/25 13:23,2/5/25 14:20,Completed,100,103.53,,32455,UK,
Recording of Exams Officer UK Webinar - November 2024,12/4/24 13:37,12/4/24 13:37,,In Progress,0,10.38,,32455,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,2/13/25 10:57,2/13/25 14:00,2/13/25 15:00,Completed,0,60,,32455,UK,
Welcome to Pearson - New to role Exams Officer ,9/6/24 7:42,9/6/24 7:42,9/6/24 10:35,Completed,100,827.31,,32455,UK,
Exams Officer UK Webinar - November 14 2024,11/5/24 12:06,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,10956,UK,
Exams Officer UK Webinar - 12 December 2024,11/29/24 14:34,12/12/24 14:00,12/12/24 15:00,Completed,100,60,,16135,UK,
Exams Officer UK Webinar - 16 January 2025,1/10/25 11:29,1/16/25 14:00,1/16/25 15:00,Completed,100,60,,16135,UK,Attended live event
Exams Officer UK Webinar - May 1st 2025,4/29/25 9:12,,,Not Started,0,0,,16135,UK,
Exams Officer UK Webinar - November 14 2024,11/7/24 9:10,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,16135,UK,
Exams Officer UK Webinar - September 26 2024,9/16/24 8:16,,,Not Started,0,0,,16135,UK,
Exams Officer UK Webinar - April 3rd 2025,3/19/25 8:49,,,Not Started,0,0,,20162,UK,
Exams Officer UK Webinar - March 13 2025,3/5/25 9:10,,,Not Started,0,0,,20162,UK,
Exams Officer UK Webinar - November 14 2024,9/20/24 13:39,,,Not Started,0,0,,20162,UK,
Exams Officer UK Webinar - October 17 2024,9/20/24 13:35,,,Not Started,0,0,,20162,UK,
Exams Officer UK Webinar - 16 January 2025,12/16/24 9:10,1/16/25 14:00,1/16/25 15:00,Completed,100,60,,17261B,UK,Attended live event
Exams Officer UK Webinar - 12 December 2024,10/10/24 14:13,,,Not Started,0,0,,24175,UK,
Exams Officer UK Webinar - March 13 2025,1/28/25 15:12,3/13/25 14:00,3/13/25 15:00,Completed,100,60,,24175,UK,Thank you for attending our EO Webinar for March 2025
BTEC Bitesize Module 3: Entries & External Assessments (2023/24),3/5/24 15:07,3/5/24 15:07,10/3/24 9:13,Completed,100,39.17,30,34631,UK,
Exams Officer UK Webinar - 12 December 2024,11/27/24 11:31,12/12/24 14:00,12/12/24 15:00,Completed,100,60,,34631,UK,
Exams Officer UK Webinar - 16 January 2025,1/16/25 10:22,,,Not Started,0,0,,34631,UK,
Exams Officer UK Webinar - March 13 2025,3/3/25 15:18,,,Not Started,0,0,,34631,UK,
Exams Officer UK Webinar - October 17 2024,10/16/24 9:19,10/17/24 13:00,10/17/24 14:00,Completed,100,60,,34631,UK,
Exams Officer UK Webinar - March 13 2025,3/11/25 10:01,,,Not Started,0,0,,38210,UK,
Exams Officer UK Webinar - November 14 2024,10/24/24 8:36,,,Not Started,0,0,,54289,UK,
Exams Officer UK Webinar - 16 January 2025,1/15/25 14:19,1/16/25 14:00,1/16/25 15:00,Completed,100,60,,14624,UK,Attended live event
GQ Bitesize (UK) Question Paper Security 2024/2025,1/9/25 11:26,1/9/25 11:26,1/9/25 12:18,Completed,100,51.1,40,14624,UK,
Recording of Exams Officer UK Webinar - December 2024,1/9/25 11:25,1/9/25 11:24,,In Progress,0,133.35,,14624,UK,
Recording of the EO International Webinar - 13 February 2025,2/13/25 7:45,,,Not Started,0,0,,94103,Kenya,
Recording of the EO International Webinar - 13 February 2025,2/10/25 15:31,,,Not Started,0,0,,95345,Spain,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/29/25 16:42,,,Not Started,0,0,,95960,India,
EO International Webinar - 10th April 2025,4/9/25 15:26,,,Not Started,0,0,,92268,Lithuania,
International Exams Officer Webinar - 12 December 2024,12/6/24 13:47,,,Not Started,0,0,,96709,Qatar,
Recording of the EO International Webinar - 13 February 2025,2/9/25 4:36,4/30/25 4:59,4/30/25 7:04,Completed,100,184.82,,96709,Qatar,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/30/25 4:58,,,Not Started,0,0,,96709,Qatar,
Exams Officer UK Webinar - March 13 2025,3/3/25 14:10,,,Not Started,0,0,,39215A,UK,
EO International Webinar - 10th April 2025,2/27/25 4:16,,,Not Started,0,0,,90316,Bahrain,
International Exams Officer Webinar - 12 December 2024,12/8/24 3:48,,,Not Started,0,0,,90316,Bahrain,
Recording of the EO International Webinar - 13 February 2025,2/10/25 4:18,,,Not Started,0,0,,90316,Bahrain,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,5/2/25 11:29,,,Not Started,0,0,,90316,Bahrain,
Centre Declaration of Interest,3/13/25 10:00,3/13/25 10:00,3/13/25 10:00,Completed,100,6,,20958,UK,
Exams Officer UK Webinar - April 3rd 2025,3/19/25 14:13,4/3/25 13:03,4/3/25 13:07,Completed,100,4.77,7,20958,UK,
Exams Officer UK Webinar - March 13 2025,3/10/25 7:41,,,Not Started,0,0,,20958,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 9:01,,,Not Started,0,0,,20958,UK,
BTEC Bitesize Module 4: BTEC Amendments (2023/24) UK centres,1/19/24 10:21,1/22/25 11:30,1/22/25 11:45,Completed,100,14.63,30,48239,UK,
Centre Declaration of Interest,3/13/25 17:13,3/13/25 17:13,3/13/25 17:13,Completed,100,12,,48239,UK,
Cohort Declaration walkthrough,1/7/25 10:40,1/7/25 10:40,,In Progress,50,7.03,,18537,UK,
International Exams Officer Webinar - 12 December 2024,12/6/24 17:25,,,Not Started,0,0,,94149,Kenya,
Recording of the EO International Webinar - 13 February 2025,2/11/25 14:09,,,Not Started,0,0,,94149,Kenya,
Recording of the EO International Webinar - 13 February 2025,2/12/25 1:54,,,Not Started,0,0,,95448,China,
Exams Officer UK Webinar - March 13 2025,3/3/25 9:47,,,Not Started,0,0,,25250,UK,
BTEC Bitesize: Intro to BTEC (2024/25),4/29/25 12:17,4/29/25 12:17,4/29/25 12:50,Completed,100,32.19,40,96599,China,
Recording of EO International Webinar - 10th April 2025,4/29/25 12:54,4/29/25 12:54,4/29/25 12:54,Completed,100,0.97,,96599,China,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/29/25 11:25,,,Not Started,0,0,,96599,China,
Exams Officer UK Webinar - September 26 2024,9/20/24 13:45,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,34539,UK,
Recording of Exams Officer UK Webinar - September 28 2023,10/10/23 15:47,10/10/23 15:47,,In Progress,0,0.17,,34539,UK,
Welcome to Pearson - New to role Exams Officer (International),1/24/24 6:54,1/24/24 6:55,,In Progress,7.69,98.18,,95595,China,
Exams Officer UK Webinar - September 26 2024,9/20/24 15:36,,,Not Started,0,0,,14605,UK,
BTEC Tech Award  - Understanding the terminal rule,12/4/24 13:36,12/4/24 13:36,12/4/24 13:36,Completed,100,1.63,,25262,UK,
Exams Officer UK Webinar - March 13 2025,12/4/24 13:38,,,Not Started,0,0,,25262,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/29/25 7:49,2/13/25 14:00,2/13/25 15:00,Completed,0,60,,25262,UK,
Welcome to Pearson - New to role Exams Officer ,12/3/24 12:48,12/3/24 12:48,12/3/24 13:09,Completed,100,187.06,,25262,UK,
BTEC cohort declaration and VQ Learner Tracker Recording December 24,1/28/25 14:52,1/28/25 14:52,1/28/25 14:52,Completed,100,79.3,,37665,UK,
Exams Officer UK Webinar - 16 January 2025,1/9/25 13:09,,,Not Started,0,0,,37665,UK,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/30/25 7:07,,,Not Started,0,0,,92118,China,
Exams Officer UK Webinar - November 14 2024,11/5/24 12:29,,,Not Started,0,0,,23178,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 10:07,,,Not Started,0,0,,34743A,UK,
Edexcel Online: Late Cash-in process,2/12/25 4:11,2/12/25 4:11,,In Progress,0,2,,97114,Oman,
Recording of Understanding Modular Cash in Codes and Entries for Pearson International GCSE Live event,5/11/25 9:33,5/11/25 9:33,,In Progress,33.33,1.42,0,97114,Oman,
Recording of the EO International Webinar - 13 February 2025,2/11/25 7:23,,,Not Started,0,0,,97114,Oman,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/30/25 3:21,,,Not Started,0,0,,97114,Oman,
Exams Officer UK Webinar - May 1st 2025,3/3/25 11:47,,,Not Started,0,0,,36506,UK,
Recording of Exams Officer UK Webinar - January 2025,3/3/25 11:49,,,Not Started,0,0,,36506,UK,
Exams Officer UK Webinar - June 12th 2025,4/23/25 8:49,,,Not Started,0,0,,10100,UK,
Exams Officer UK Webinar - May 1st 2025,4/23/25 8:43,,,Not Started,0,0,,10100,UK,
Welcome to Pearson - New to role Exams Officer ,4/23/25 12:52,4/23/25 12:52,4/23/25 13:39,Completed,100,288.16,,10100,UK,
International GQ Bitesize  Module 9 : Post Results Services 2023-2024,10/14/24 14:22,10/14/24 14:26,,In Progress,0,2.77,0,94660,Maldives,
Recording of the Exams Officer International Webinar - October 24 2024,10/14/24 14:22,,,Not Started,0,0,,94660,Maldives,
Exams Officer UK Webinar - September 26 2024,9/13/24 7:44,,,Not Started,0,0,,10347,UK,
Edexcel Online: Late Cash-in process,9/7/24 1:55,9/7/24 1:55,,In Progress,0,18.03,,95371,Indonesia,
Exams Officer UK Webinar - 12 December 2024,12/4/24 10:30,,,Not Started,0,0,,46406,UK,
Exams Officer UK Webinar - April 3rd 2025,4/1/25 7:23,,,Not Started,0,0,,12914,UK,
Exams Officer UK Webinar - September 26 2024,9/24/24 9:16,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,12914,UK,
Recording of Exams Officer UK Webinar - January 2025,1/29/25 12:09,1/29/25 12:09,1/29/25 12:39,Completed,100,49.55,,12914,UK,
Recording of the Exams Officer International Webinar - October 24 2024,10/16/24 8:01,,,Not Started,0,0,,94476,Egypt,
Exams Officer UK Webinar - May 1st 2025,4/28/25 8:34,,,Not Started,0,0,,10152,UK,
Recording of the EO International Webinar - 12 December 2024,1/11/25 20:47,1/11/25 20:47,,In Progress,0,2.37,,95489,Qatar,
Recording of the Exams Officer International Webinar - October 24 2024,10/27/24 11:44,10/27/24 11:44,10/27/24 11:44,Completed,100,9.68,,95489,Qatar,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,5/3/25 4:55,,,Not Started,0,0,,95489,Qatar,
Welcome to Pearson - New to role Exams Officer ,5/4/25 7:14,5/4/25 7:14,,In Progress,0,2.12,,95489,Qatar,
Welcome to Pearson - New to role Exams Officer ,4/28/25 8:30,,,Not Started,0,0,,34747,UK,
Exams Officer UK Webinar - March 13 2025,2/21/25 11:35,,,Not Started,0,0,,16317A,UK,
Exams Officer UK Webinar - October 17 2024,10/10/24 11:57,10/17/24 13:00,10/17/24 14:00,Completed,100,60,,16317A,UK,
Recording of International Exams Officer Webinar - January 31st  2024,3/27/24 17:23,3/27/24 17:23,3/27/24 17:26,Completed,100,3,,94950,Hong Kong,
Recording of the EO International Webinar - 12 December 2024,12/23/24 5:34,12/23/24 5:34,,In Progress,0,3.23,,94950,Hong Kong,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/30/25 0:31,,,Not Started,0,0,,94950,Hong Kong,
Exams Officer UK Webinar - 12 December 2024,10/10/24 15:48,,,Not Started,0,0,,12603,UK,
Exams Officer UK Webinar - 16 January 2025,1/10/25 11:56,,,Not Started,0,0,,12603,UK,
Exams Officer UK Webinar - April 3rd 2025,2/27/25 16:26,,,Not Started,0,0,,12603,UK,
Exams Officer UK Webinar - June 12th 2025,2/27/25 16:27,,,Not Started,0,0,,12603,UK,
Exams Officer UK Webinar - March 13 2025,1/10/25 11:58,,,Not Started,0,0,,12603,UK,
Exams Officer UK Webinar - May 1st 2025,2/27/25 16:27,,,Not Started,0,0,,12603,UK,
Exams Officer UK Webinar - November 14 2024,10/10/24 15:48,,,Not Started,0,0,,12603,UK,
Exams Officer UK Webinar - October 17 2024,10/10/24 15:47,,,Not Started,0,0,,12603,UK,
Exams Officer UK Webinar - September 26 2024,9/13/24 15:37,,,Not Started,0,0,,12603,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/10/25 11:57,2/27/25 9:35,,In Progress,0,3.13,,12603,UK,
BTEC Tech Awards - understanding the terminal rule and certification,10/7/24 14:43,10/7/24 14:43,10/7/24 14:43,Completed,100,14.7,,33733,UK,
Exams Officer UK Webinar - September 26 2024,9/20/24 13:31,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,37311,UK,
Exams Officer UK Webinar - November 14 2024,10/24/24 13:12,,,Not Started,0,0,,42311,UK,
Exams Officer UK Webinar - November 14 2024,11/5/24 12:04,,,Not Started,0,0,,40127,UK,
Exams Officer UK Webinar - 12 December 2024,11/12/24 13:41,,,Not Started,0,0,,61210,UK,
Exams Officer UK Webinar - April 3rd 2025,2/27/25 15:02,,,Not Started,0,0,,61210,UK,
Exams Officer UK Webinar - September 26 2024,9/12/24 12:31,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,61210,UK,
Recording of the EO International Webinar - 13 February 2025,2/11/25 12:11,3/28/25 6:47,3/28/25 7:30,Completed,100,278.32,,92091,Greece,
Centre Declaration of Interest,2/11/25 7:45,2/11/25 7:45,2/11/25 7:45,Completed,100,13,,10606,UK,
Welcome to Pearson - New to role Exams Officer ,4/28/25 8:30,,,Not Started,0,0,,58401,UK,
Centre Declaration of Interest,10/24/24 12:52,10/24/24 12:54,,In Progress,0,17.12,,71325,UK,
BTEC Bitesize: Intro to BTEC (2024/25),10/31/24 11:20,,,Not Started,0,0,,,UK,
BTEC Bitesize: Registrations (2024/25),10/31/24 11:25,,,Not Started,0,0,,,UK,
GQ Bitesize (International) Introduction 2024/2025,10/31/24 12:14,,,Not Started,0,0,,,UK,
GQ Bitesize (International) Making Entries 2024/2025,10/31/24 12:16,,,Not Started,0,0,,,UK,
GQ/BTEC Bitesize (International) Modified Papers 2024/2025,10/31/24 12:18,,,Not Started,0,0,,,UK,
International Customer Onboarding,11/15/24 10:45,11/15/24 11:26,11/15/24 11:26,Completed,100,20.78,,,UK,
Recording of Exams Officer UK Webinar - March 13 2025,3/19/25 8:26,3/19/25 8:26,3/19/25 8:26,Completed,100,0.23,,,UK,
Recording of Making entries for International GCSE's live event - 06 March 2024,4/25/25 14:36,4/25/25 14:36,4/25/25 14:36,Completed,100,0.67,,,UK,
Recording of the EO International Webinar - 13 February 2025,3/19/25 8:27,3/19/25 8:27,3/19/25 8:30,Completed,100,18.73,,,UK,
Recording of the EO International Webinar - 13 February 2025,3/28/25 7:12,3/28/25 7:12,,In Progress,0,0.1,,92090,Greece,
Welcome to Pearson - New to role Exams Officer ,5/6/25 12:44,5/7/25 10:17,5/7/25 10:47,Completed,100,287.11,,61833,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 8:58,,,Not Started,0,0,,71307,UK,
,4/3/24 7:46,1/31/24 11:26,4/4/24 9:48,Completed,100,82.07,439,,UK,
BTEC Bitesize Module 3: Entries & External Assessments (2023/24),3/12/24 14:37,3/12/24 14:37,4/4/24 9:24,Completed,100,3.25,30,,UK,
BTEC Bitesize Module 4: BTEC Amendments (2023/24) UK centres,1/31/24 11:25,1/31/24 11:26,4/4/24 9:25,Completed,100,0.28,30,,UK,
BTEC Bitesize Module 5: Modified Papers (2023/24) UK centres,4/3/24 7:46,4/4/24 9:25,4/4/24 9:31,Completed,100,5.08,40,,UK,
BTEC Bitesize Module 6: Access Arrangements (2023/24) UK centres,4/3/24 7:46,4/4/24 9:31,4/4/24 9:35,Completed,100,4.07,30,,UK,
BTEC Bitesize Module 7: Exam Administration (2023/24),4/3/24 7:46,4/4/24 9:35,4/4/24 9:37,Completed,100,1.65,40,,UK,
BTEC Bitesize Module 8: Question Paper Security (2023/24),4/3/24 7:46,4/4/24 9:37,4/4/24 9:39,Completed,100,1.43,40,,UK,
Bitesize Training - Pearson Onscreen Platform (POP Classroom LAN) (2023/24),4/3/24 7:46,4/4/24 9:00,4/4/24 9:13,Completed,100,12.27,30,,UK,
Bitesize Training - Pearson Onscreen Platform (POP Offline & Online) (2023/24),4/3/24 7:46,4/4/24 9:13,4/4/24 9:20,Completed,100,5.1,30,,UK,
GQ Bitesize (UK) Module 1: Entries  2023/2024,3/14/24 10:19,3/14/24 10:19,4/4/24 9:39,Completed,100,2.93,30,,UK,
GQ Bitesize (UK) Module 2: Modified Papers 2023/2024,4/3/24 7:46,4/4/24 9:39,4/4/24 9:41,Completed,100,2.07,40,,UK,
GQ Bitesize (UK) Module 3: Access Arrangements  2023/2024,4/3/24 7:46,4/4/24 9:42,4/4/24 9:44,Completed,100,2.1,30,,UK,
GQ Bitesize (UK) Module 4: Amendments & Eligibility  2023/2024,4/3/24 7:46,4/4/24 9:44,4/4/24 9:45,Completed,100,1.03,30,,UK,
GQ Bitesize (UK) Module 5: NEA 2023-2024,4/3/24 7:46,4/4/24 9:45,4/4/24 9:48,Completed,100,2.73,30,,UK,
International GQ Bitesize  Module 1: Introduction 2023/2024,4/3/24 7:46,4/4/24 9:48,4/4/24 9:50,Completed,100,2.55,40,,UK,
International GQ Bitesize  Module 2: Entries 2023/2024,4/3/24 7:46,4/4/24 9:55,4/4/24 9:56,Completed,100,1.62,30,,UK,
International GQ Bitesize  Module 3: GQ/BTEC Modified Papers 2023/2024,4/3/24 7:46,4/4/24 9:51,4/4/24 9:53,Completed,100,2.02,40,,UK,
International GQ Bitesize  Module 4: GQ/BTEC  Access Arrangements 2023/2024,4/3/24 7:46,4/4/24 9:53,4/4/24 9:55,Completed,100,1.88,30,,UK,
"Security Checks For Calls, Emails & Chat 2024",4/3/24 7:46,4/4/24 8:29,4/4/24 8:58,Completed,100,30.01,9,,UK,
BTEC Bitesize Module 1: Intro to BTEC (2023/24),11/27/23 9:08,11/27/23 9:08,,In Progress,50,0.51,0,,UK,
BTEC Bitesize: Intro to BTEC (2024/25),1/30/25 14:05,1/30/25 14:05,,In Progress,0,14.5,0,,UK,
BTEC cohort declaration and VQ Learner Tracker Recording December 24,4/10/25 8:31,4/10/25 8:31,4/10/25 8:31,Completed,100,0.13,,,UK,
CS: New Starter: Introduction to iSeries,10/27/23 7:40,10/27/23 7:40,10/27/23 7:40,Completed,100,47.63,,,UK,
CS: Onscreen Platform,11/2/23 16:07,11/2/23 16:07,,In Progress,0,61.35,0,,UK,
Learner Work Transfer - January 2024 Session ,1/3/24 9:49,1/4/24 15:16,1/4/24 15:34,Completed,100,24.8,8,,UK,
Pearson Tone of Voice Principals (The Written Word),2/25/25 12:47,2/25/25 12:47,,In Progress,0,0.05,0,,UK,
Recording of Exams Officer UK Webinar - September 2024,10/1/24 13:27,10/1/24 13:28,,In Progress,0,122.05,,,UK,
Recording of the Exams Officer International Webinar - October 24 2024,10/17/24 13:33,,,Not Started,0,0,,,UK,
ResultsPlus: Accessing individual student results,10/1/24 7:55,10/1/24 7:56,,In Progress,0,1.73,,,UK,
Welcome to Pearson - New to role Exams Officer ,4/8/25 10:54,,,Not Started,0,0,,,UK,
Welcome to Pearson - New to role Exams Officer ,5/6/25 12:44,5/8/25 10:36,,In Progress,85.71,1946.7,,47579,UK,
,5/6/25 13:15,3/1/24 9:04,,In Progress,33.33,175.04,117,,UK,
